Date,코로나_단계,마스크_의무화,코로나_고위험_시설
2020-01-20,10,0,0
2020-01-21,5,0,0
2020-01-22,1,0,7
2020-01-23,3,2,5
2020-01-24,4,1,1
2020-01-25,1,0,0
2020-01-26,1,3,0
2020-01-27,6,3,1
2020-01-28,12,28,8
2020-01-29,10,5,18
2020-01-30,10,1,27
2020-01-31,5,0,6
2020-02-01,2,0,0
2020-02-02,3,1,7
2020-02-03,9,3,15
2020-02-04,19,5,6
2020-02-05,8,1,36
2020-02-06,6,30,19
2020-02-07,10,9,23
2020-02-08,2,1,16
2020-02-09,10,0,9
2020-02-10,11,5,24
2020-02-11,7,1,40
2020-02-12,2,22,13
2020-02-13,10,1,12
2020-02-14,10,1,2
2020-02-15,10,0,20
2020-02-16,5,0,5
2020-02-17,10,0,13
2020-02-18,10,0,28
2020-02-19,26,3,38
2020-02-20,102,9,35
2020-02-21,65,6,73
2020-02-22,17,0,33
2020-02-23,210,1,17
2020-02-24,372,8,118
2020-02-25,167,61,105
2020-02-26,43,8,124
2020-02-27,48,1,222
2020-02-28,19,1,166
2020-02-29,16,0,36
2020-03-01,19,2,173
2020-03-02,24,4,305
2020-03-03,15,3,219
2020-03-04,14,2,174
2020-03-05,11,4,162
2020-03-06,13,4,152
2020-03-07,6,2,79
2020-03-08,10,3,115
2020-03-09,26,5,223
2020-03-10,17,1,147
2020-03-11,8,1,389
2020-03-12,15,1,332
2020-03-13,10,1,203
2020-03-14,8,0,66
2020-03-15,11,0,148
2020-03-16,10,6,337
2020-03-17,13,2,181
2020-03-18,14,5,401
2020-03-19,13,3,346
2020-03-20,5,4,233
2020-03-21,5,0,162
2020-03-22,5,4,261
2020-03-23,15,4,324
2020-03-24,10,1,338
2020-03-25,5,3,270
2020-03-26,10,0,204
2020-03-27,12,0,132
2020-03-28,1,0,82
2020-03-29,3,0,99
2020-03-30,8,1,182
2020-03-31,10,5,122
2020-04-01,8,6,205
2020-04-02,10,8,143
2020-04-03,8,9,73
2020-04-04,4,2,118
2020-04-05,10,0,117
2020-04-06,12,15,186
2020-04-07,11,13,147
2020-04-08,10,7,212
2020-04-09,14,6,168
2020-04-10,5,9,68
2020-04-11,3,0,37
2020-04-12,3,5,56
2020-04-13,10,2,137
2020-04-14,13,8,70
2020-04-15,3,6,30
2020-04-16,10,16,120
2020-04-17,23,6,123
2020-04-18,8,6,50
2020-04-19,6,0,58
2020-04-20,14,6,53
2020-04-21,12,20,75
2020-04-22,14,14,106
2020-04-23,10,17,175
2020-04-24,10,19,93
2020-04-25,5,4,26
2020-04-26,10,0,29
2020-04-27,10,8,98
2020-04-28,11,21,90
2020-04-29,10,12,49
2020-04-30,1,9,19
2020-05-01,10,4,34
2020-05-02,1,1,91
2020-05-03,8,7,122
2020-05-04,10,1,97
2020-05-05,18,15,82
2020-05-06,25,33,175
2020-05-07,19,35,159
2020-05-08,10,25,102
2020-05-09,6,3,42
2020-05-10,10,5,107
2020-05-11,11,6,219
2020-05-12,10,93,205
2020-05-13,11,76,209
2020-05-14,10,8,90
2020-05-15,7,99,106
2020-05-16,2,11,72
2020-05-17,2,22,64
2020-05-18,10,41,186
2020-05-19,11,10,185
2020-05-20,10,53,112
2020-05-21,4,36,73
2020-05-22,2,8,192
2020-05-23,1,2,64
2020-05-24,1,6,137
2020-05-25,7,82,187
2020-05-26,10,232,147
2020-05-27,8,92,102
2020-05-28,10,25,146
2020-05-29,5,17,89
2020-05-30,10,3,26
2020-05-31,10,24,165
2020-06-01,12,24,313
2020-06-02,10,15,379
2020-06-03,10,13,209
2020-06-04,3,32,139
2020-06-05,5,6,179
2020-06-06,3,0,84
2020-06-07,1,0,85
2020-06-08,10,10,215
2020-06-09,7,1,296
2020-06-10,6,2,453
2020-06-11,10,0,289
2020-06-12,10,12,481
2020-06-13,0,4,113
2020-06-14,2,10,114
2020-06-15,8,8,351
2020-06-16,10,9,211
2020-06-17,10,14,130
2020-06-18,3,7,162
2020-06-19,10,8,162
2020-06-20,4,3,62
2020-06-21,2,3,270
2020-06-22,10,3,441
2020-06-23,10,13,393
2020-06-24,10,5,284
2020-06-25,6,22,170
2020-06-26,5,10,136
2020-06-27,2,2,117
2020-06-28,10,5,262
2020-06-29,10,33,233
2020-06-30,7,27,244
2020-07-01,19,56,542
2020-07-02,7,23,402
2020-07-03,10,38,285
2020-07-04,10,20,50
2020-07-05,18,55,236
2020-07-06,14,71,272
2020-07-07,10,27,192
2020-07-08,6,30,394
2020-07-09,10,34,336
2020-07-10,3,22,145
2020-07-11,7,6,52
2020-07-12,4,26,200
2020-07-13,8,17,246
2020-07-14,10,13,218
2020-07-15,17,17,160
2020-07-16,7,26,113
2020-07-17,6,40,126
2020-07-18,6,24,18
2020-07-19,10,9,144
2020-07-20,10,22,196
2020-07-21,11,9,137
2020-07-22,10,11,92
2020-07-23,6,30,116
2020-07-24,4,22,75
2020-07-25,1,3,26
2020-07-26,8,6,55
2020-07-27,13,12,201
2020-07-28,14,5,77
2020-07-29,10,6,112
2020-07-30,3,9,85
2020-07-31,5,1,38
2020-08-01,2,2,6
2020-08-02,5,2,60
2020-08-03,5,4,120
2020-08-04,5,11,80
2020-08-05,5,4,85
2020-08-06,10,3,79
2020-08-07,3,7,36
2020-08-08,1,5,33
2020-08-09,0,2,22
2020-08-10,10,3,63
2020-08-11,0,3,44
2020-08-12,4,11,152
2020-08-13,4,19,73
2020-08-14,30,16,189
2020-08-15,41,7,420
2020-08-16,27,7,373
2020-08-17,35,7,505
2020-08-18,60,215,984
2020-08-19,40,119,1087
2020-08-20,37,76,752
2020-08-21,50,94,659
2020-08-22,51,6,467
2020-08-23,87,168,647
2020-08-24,127,347,860
2020-08-25,92,186,804
2020-08-26,62,36,458
2020-08-27,106,61,460
2020-08-28,77,62,355
2020-08-29,28,3,155
2020-08-30,43,43,318
2020-08-31,42,117,438
2020-09-01,35,82,341
2020-09-02,26,105,306
2020-09-03,21,39,339
2020-09-04,36,31,362
2020-09-05,18,4,130
2020-09-06,17,48,241
2020-09-07,24,28,481
2020-09-08,20,9,404
2020-09-09,27,11,546
2020-09-10,27,9,605
2020-09-11,23,29,417
2020-09-12,16,1,205
2020-09-13,34,13,368
2020-09-14,44,24,632
2020-09-15,17,8,362
2020-09-16,8,26,380
2020-09-17,11,27,287
2020-09-18,7,9,213
2020-09-19,9,2,94
2020-09-20,16,10,296
2020-09-21,14,10,513
2020-09-22,10,17,317
2020-09-23,13,9,300
2020-09-24,4,6,244
